province,latitude,longitude
上海市,31.19949999999999,121.42699999999999
云南省,25.06808823529411,101.73558823529413
内蒙古自治区,42.71603603603604,114.44054054054051
北京市,39.99850000000001,116.41099999999999
吉林省,43.4413432835821,125.97835820895519
四川省,30.135784313725484,104.01514705882352
天津市,39.193999999999996,117.30900000000001
宁夏回族自治区,37.60653846153846,106.18576923076922
安徽省,31.866974789915975,117.38344537815128
山东省,36.32571428571427,118.07596273291925
山西省,37.39916083916084,112.40825174825173
广东省,23.13671641791045,113.5720895522389
广西壮族自治区,23.669700000000002,108.85720000000005
新疆维吾尔,42.56445454545455,83.7100909090909
江苏省,32.7161344537815,119.43008403361345
江西省,27.8040909090909,115.76336363636369
河北省,38.6684263959391,115.82111675126909
河南省,34.29964912280702,113.75918128654973
浙江省,29.382323232323223,120.45020202020204
海南省,19.339545454545455,109.90181818181819
港澳台,23.77173913043478,120.19304347826088
湖北省,30.803304347826092,112.8606956521739
湖南省,27.632296296296285,111.89970370370374
甘肃省,36.12627659574468,103.73723404255323
福建省,25.740425531914884,118.27021276595747
西藏自治区,30.008874999999996,90.783625
贵州省,26.813936170212767,107.02180851063827
辽宁省,41.17230088495576,122.6578761061947
重庆市,29.90513513513513,107.38027027027027
陕西省,34.75853448275862,108.84534482758619
青海省,35.65607843137254,100.12764705882351
黑龙江省,46.82152173913043,128.37492753623192
